Mod:Item:MetaData, Localized Name
chisel:sandstone:2, Sandstone
chisel:sandstone:3, Sandstone
chisel:sandstone:4, Sandstone
chisel:sandstone:5, Sandstone
chisel:sandstone:6, Sandstone
chisel:sandstone:7, Sandstone
chisel:sandstone:8, Sandstone
chisel:sandstone:9, Sandstone
chisel:sandstone:10, Sandstone
chisel:sandstone:11, Sandstone
chisel:sandstone:12, Sandstone
chisel:sandstone:13, Sandstone
chisel:sandstone:14, Sandstone
chisel:sandstone:15, Sandstone
chisel:sandstone2:0, tile.chisel.sandstone2.name
chisel:sandstone2:1, tile.chisel.sandstone2.name
chisel:sandstone_scribbles:0, Sandstone Scribbles
chisel:sandstone_scribbles:1, Sandstone Scribbles
chisel:sandstone_scribbles:2, Sandstone Scribbles
chisel:sandstone_scribbles:3, Sandstone Scribbles
chisel:sandstone_scribbles:4, Sandstone Scribbles
chisel:sandstone_scribbles:5, Sandstone Scribbles
chisel:sandstone_scribbles:6, Sandstone Scribbles
chisel:sandstone_scribbles:7, Sandstone Scribbles
chisel:sandstone_scribbles:8, Sandstone Scribbles
chisel:sandstone_scribbles:9, Sandstone Scribbles
chisel:sandstone_scribbles:10, Sandstone Scribbles
chisel:sandstone_scribbles:11, Sandstone Scribbles
chisel:sandstone_scribbles:12, Sandstone Scribbles
chisel:sandstone_scribbles:13, Sandstone Scribbles
chisel:sandstone_scribbles:14, Sandstone Scribbles
chisel:sandstone_scribbles:15, Sandstone Scribbles
chisel:silverblock:0, Block of Silver
chisel:silverblock:1, Block of Silver
chisel:silverblock:2, Block of Silver
chisel:silverblock:3, Block of Silver
chisel:silverblock:4, Block of Silver
chisel:silverblock:5, Block of Silver
chisel:sand_snakestone:1, Sand Snakestone
chisel:sand_snakestone:13, Sand Snakestone
chisel:stone_snakestone:1, Stone Snakestone
chisel:stone_snakestone:13, Stone Snakestone
chisel:obsidian_snakestone:1, Obsidian Snakestone
chisel:obsidian_snakestone:13, Obsidian Snakestone
chisel:steelblock:0, Block of Steel
chisel:steelblock:1, Block of Steel
chisel:steelblock:2, Block of Steel
chisel:steelblock:3, Block of Steel
chisel:steelblock:4, Block of Steel
chisel:steelblock:5, Block of Steel
chisel:stonebricksmooth:0, Stone Bricks
chisel:stonebricksmooth:1, Stone Bricks
chisel:stonebricksmooth:2, Stone Bricks
chisel:stonebricksmooth:3, Stone Bricks
chisel:stonebricksmooth:4, Stone Bricks
chisel:stonebricksmooth:5, Stone Bricks
chisel:stonebricksmooth:6, Stone Bricks
chisel:stonebricksmooth:7, Stone Bricks
chisel:stonebricksmooth:8, Stone Bricks
chisel:stonebricksmooth:9, Stone Bricks
chisel:stonebricksmooth:10, Stone Bricks
chisel:stonebricksmooth:11, Stone Bricks
chisel:stonebricksmooth:12, Stone Bricks
chisel:stonebricksmooth:13, Stone Bricks
chisel:stonebricksmooth:14, Stone Bricks
chisel:stonebricksmooth:15, Stone Bricks
chisel:tallow:0, Block of Tallow
chisel:tallow:1, Block of Tallow
chisel:technical:0, Technical Block
chisel:technical:1, Technical Block
chisel:technical:2, Technical Block
chisel:technical:3, Technical Block
chisel:technical:4, Technical Block
chisel:technical:5, Technical Block
chisel:technical:6, Technical Block
chisel:technical:7, Technical Block
chisel:technical:8, Technical Block
chisel:technical:9, Technical Block
chisel:technical:10, Technical Block
chisel:technical:11, Technical Block
chisel:technical:12, Technical Block
chisel:technical:13, Technical Block
chisel:technical:14, Technical Block
chisel:technical:15, Technical Block
chisel:technical2:0, Transparent Technical Block
chisel:technical2:1, Transparent Technical Block
chisel:technical2:2, Transparent Technical Block
chisel:technical2:3, Transparent Technical Block
chisel:technical3:0, Industrial Technical Block
chisel:technical3:1, Industrial Technical Block
chisel:technical4:0, Technical Block
chisel:technical4:1, Technical Block
chisel:technical4:2, Technical Block
chisel:technical4:3, Technical Block
chisel:technical4:4, Technical Block
chisel:technical4:5, Technical Block
chisel:technical4:6, Technical Block
chisel:technical4:7, Technical Block
chisel:templeblock:0, Temple Block
chisel:templeblock:1, Temple Block
chisel:templeblock:2, Temple Block
chisel:templeblock:3, Temple Block
chisel:templeblock:4, Temple Block
chisel:templeblock:5, Temple Block
chisel:templeblock:6, Temple Block
chisel:templeblock:7, Temple Block
chisel:templeblock:8, Temple Block
chisel:templeblock:9, Temple Block
chisel:templeblock:10, Temple Block
chisel:templeblock:11, Temple Block
chisel:templeblock:12, Temple Block
chisel:templeblock:13, Temple Block
chisel:templeblock:14, Temple Block
chisel:templeblock:15, Temple Block
chisel:mossy_templeblock:0, Mossy Temple Block
chisel:mossy_templeblock:1, Mossy Temple Block
chisel:mossy_templeblock:2, Mossy Temple Block
chisel:mossy_templeblock:3, Mossy Temple Block
chisel:mossy_templeblock:4, Mossy Temple Block
chisel:mossy_templeblock:5, Mossy Temple Block
chisel:mossy_templeblock:6, Mossy Temple Block
chisel:mossy_templeblock:7, Mossy Temple Block
chisel:mossy_templeblock:8, Mossy Temple Block
chisel:mossy_templeblock:9, Mossy Temple Block
chisel:mossy_templeblock:10, Mossy Temple Block
chisel:mossy_templeblock:11, Mossy Temple Block
chisel:mossy_templeblock:12, Mossy Temple Block
chisel:mossy_templeblock:13, Mossy Temple Block
chisel:mossy_templeblock:14, Mossy Temple Block
chisel:mossy_templeblock:15, Mossy Temple Block
chisel:tinblock:0, Block of Tin
chisel:tinblock:1, Block of Tin
chisel:tinblock:2, Block of Tin
chisel:tinblock:3, Block of Tin
chisel:tinblock:4, Block of Tin
chisel:tinblock:5, Block of Tin
chisel:thaumium:0, Thaumium Block
chisel:thaumium:1, Thaumium Block
chisel:thaumium:2, Thaumium Block
chisel:thaumium:3, Thaumium Block
chisel:thaumium:4, Thaumium Block
chisel:thaumium:5, Thaumium Block
chisel:torch1, Torch
chisel:torch2, Torch
chisel:torch3, Torch
chisel:torch4, Torch
chisel:torch5, Torch
chisel:torch6, Torch
chisel:torch7, Torch
chisel:torch8, Torch
chisel:torch9, Torch
chisel:torch10, Torch
chisel:tyrian:0, Tyrian
chisel:tyrian:1, Tyrian
chisel:tyrian:2, Tyrian
chisel:tyrian:3, Tyrian
chisel:tyrian:4, Tyrian
chisel:tyrian:5, Tyrian
chisel:tyrian:6, Tyrian
chisel:tyrian:7, Tyrian
chisel:tyrian:8, Tyrian
chisel:tyrian:9, Tyrian
chisel:tyrian:10, Tyrian
chisel:tyrian:11, Tyrian
chisel:tyrian:12, Tyrian
chisel:tyrian:13, Tyrian
chisel:tyrian:14, Tyrian
chisel:tyrian:15, Tyrian
chisel:uraniumblock:0, Block of Uranium
chisel:uraniumblock:1, Block of Uranium
chisel:uraniumblock:2, Block of Uranium
chisel:uraniumblock:3, Block of Uranium
chisel:uraniumblock:4, Block of Uranium
chisel:uraniumblock:5, Block of Uranium
chisel:valentines:0, Valentines Block
chisel:valentines:1, Valentines Block
chisel:valentines:2, Valentines Block
chisel:valentines:3, Valentines Block
chisel:valentines:4, Valentines Block
chisel:valentines:5, Valentines Block
chisel:valentines:6, Valentines Block
chisel:valentines:7, Valentines Block
chisel:valentines:8, Valentines Block
chisel:valentines:9, Valentines Block
chisel:voidstone:0, Voidstone
chisel:voidstone:1, Voidstone
chisel:voidstone:2, Voidstone
chisel:voidstone:3, Voidstone
chisel:voidstone:4, Voidstone
chisel:voidstone:5, Voidstone
chisel:voidstone:6, Voidstone
chisel:voidstone:7, Voidstone
chisel:voidstone2:0, Energised Voidstone
chisel:voidstone2:1, Energised Voidstone
chisel:voidstone2:2, Energised Voidstone
chisel:voidstone2:3, Energised Voidstone
chisel:voidstone2:4, Energised Voidstone
chisel:voidstone2:5, Energised Voidstone
chisel:voidstone2:6, Energised Voidstone
chisel:voidstone2:7, Energised Voidstone
chisel:voidstoneRunic:1, Runic Voidstone
chisel:voidstoneRunic:2, Runic Voidstone
chisel:voidstoneRunic:3, Runic Voidstone
chisel:voidstoneRunic:4, Runic Voidstone
chisel:voidstoneRunic:5, Runic Voidstone
chisel:voidstoneRunic:6, Runic Voidstone
chisel:voidstoneRunic:7, Runic Voidstone
chisel:voidstoneRunic:8, Runic Voidstone
chisel:voidstoneRunic:9, Runic Voidstone
chisel:voidstoneRunic:10, Runic Voidstone
chisel:voidstoneRunic:11, Runic Voidstone
chisel:voidstoneRunic:12, Runic Voidstone
chisel:voidstoneRunic:13, Runic Voidstone
chisel:voidstoneRunic:14, Runic Voidstone
chisel:voidstoneRunic:15, Runic Voidstone
chisel:voidstonePillar:0, Voidstone Pillar
chisel:voidstonePillar2:0, Energised Voidstone Pillar
chisel:warningSign:0, Warning Sign
chisel:warningSign:1, Warning Sign
chisel:warningSign:2, Warning Sign
chisel:warningSign:3, Warning Sign
chisel:warningSign:4, Warning Sign
chisel:warningSign:5, Warning Sign
chisel:warningSign:6, Warning Sign
chisel:warningSign:7, Warning Sign
chisel:warningSign:8, Warning Sign
chisel:warningSign:9, Warning Sign
chisel:warningSign:10, Warning Sign
chisel:warningSign:11, Warning Sign
chisel:warningSign:12, Warning Sign
chisel:warningSign:13, Warning Sign
chisel:warningSign:14, Warning Sign
chisel:waterstone:0, Waterstone
chisel:waterstone:1, Waterstone
chisel:waterstone:2, Waterstone
chisel:waterstone:3, Waterstone
chisel:waterstone:4, Waterstone
chisel:waterstone:5, Waterstone
chisel:waterstone:6, Waterstone
chisel:oak_planks:1, Oak Wood Planks
chisel:oak_planks:2, Oak Wood Planks
chisel:oak_planks:6, Oak Wood Planks
chisel:oak_planks:8, Oak Wood Planks
chisel:oak_planks:9, Oak Wood Planks
chisel:oak_planks:10, Oak Wood Planks
chisel:oak_planks:11, Oak Wood Planks
chisel:oak_planks:13, Oak Wood Planks
chisel:oak_planks:3, Oak Wood Planks
chisel:oak_planks:4, Oak Wood Planks
chisel:oak_planks:5, Oak Wood Planks
chisel:oak_planks:7, Oak Wood Planks
chisel:oak_planks:12, Oak Wood Planks
chisel:oak_planks:14, Oak Wood Planks
chisel:oak_planks:15, Oak Wood Planks
chisel:spruce_planks:1, Spruce Wood Planks
chisel:spruce_planks:2, Spruce Wood Planks
chisel:spruce_planks:6, Spruce Wood Planks
chisel:spruce_planks:8, Spruce Wood Planks
chisel:spruce_planks:9, Spruce Wood Planks
chisel:spruce_planks:10, Spruce Wood Planks
chisel:spruce_planks:11, Spruce Wood Planks
chisel:spruce_planks:13, Spruce Wood Planks
chisel:spruce_planks:3, Spruce Wood Planks
chisel:spruce_planks:4, Spruce Wood Planks
chisel:spruce_planks:5, Spruce Wood Planks
chisel:spruce_planks:7, Spruce Wood Planks
chisel:spruce_planks:12, Spruce Wood Planks
chisel:spruce_planks:14, Spruce Wood Planks
chisel:spruce_planks:15, Spruce Wood Planks
chisel:birch_planks:1, Birch Wood Planks
chisel:birch_planks:2, Birch Wood Planks
chisel:birch_planks:6, Birch Wood Planks
chisel:birch_planks:8, Birch Wood Planks
chisel:birch_planks:9, Birch Wood Planks
chisel:birch_planks:10, Birch Wood Planks
chisel:birch_planks:11, Birch Wood Planks
chisel:birch_planks:13, Birch Wood Planks
chisel:birch_planks:3, Birch Wood Planks
chisel:birch_planks:4, Birch Wood Planks
chisel:birch_planks:5, Birch Wood Planks
chisel:birch_planks:7, Birch Wood Planks
chisel:birch_planks:12, Birch Wood Planks
chisel:birch_planks:14, Birch Wood Planks
chisel:birch_planks:15, Birch Wood Planks
chisel:jungle_planks:1, Jungle Wood Planks
chisel:jungle_planks:2, Jungle Wood Planks
chisel:jungle_planks:6, Jungle Wood Planks
chisel:jungle_planks:8, Jungle Wood Planks
chisel:jungle_planks:9, Jungle Wood Planks
chisel:jungle_planks:10, Jungle Wood Planks
chisel:jungle_planks:11, Jungle Wood Planks
chisel:jungle_planks:13, Jungle Wood Planks
chisel:jungle_planks:3, Jungle Wood Planks
chisel:jungle_planks:4, Jungle Wood Planks
chisel:jungle_planks:5, Jungle Wood Planks
chisel:jungle_planks:7, Jungle Wood Planks
chisel:jungle_planks:12, Jungle Wood Planks
chisel:jungle_planks:14, Jungle Wood Planks
chisel:jungle_planks:15, Jungle Wood Planks
chisel:acacia_planks:1, Acacia Wood Planks
chisel:acacia_planks:2, Acacia Wood Planks
chisel:acacia_planks:6, Acacia Wood Planks
chisel:acacia_planks:8, Acacia Wood Planks
chisel:acacia_planks:9, Acacia Wood Planks
chisel:acacia_planks:10, Acacia Wood Planks
chisel:acacia_planks:11, Acacia Wood Planks
chisel:acacia_planks:13, Acacia Wood Planks
chisel:acacia_planks:3, Acacia Wood Planks
chisel:acacia_planks:4, Acacia Wood Planks
chisel:acacia_planks:5, Acacia Wood Planks
chisel:acacia_planks:7, Acacia Wood Planks
chisel:acacia_planks:12, Acacia Wood Planks
chisel:acacia_planks:14, Acacia Wood Planks
chisel:acacia_planks:15, Acacia Wood Planks
chisel:dark_oak_planks:1, Dark Oak Wood Planks
chisel:dark_oak_planks:2, Dark Oak Wood Planks
chisel:dark_oak_planks:6, Dark Oak Wood Planks
chisel:dark_oak_planks:8, Dark Oak Wood Planks
chisel:dark_oak_planks:9, Dark Oak Wood Planks
chisel:dark_oak_planks:10, Dark Oak Wood Planks
chisel:dark_oak_planks:11, Dark Oak Wood Planks
chisel:dark_oak_planks:13, Dark Oak Wood Planks
chisel:dark_oak_planks:3, Dark Oak Wood Planks
chisel:dark_oak_planks:4, Dark Oak Wood Planks
chisel:dark_oak_planks:5, Dark Oak Wood Planks
chisel:dark_oak_planks:7, Dark Oak Wood Planks
chisel:dark_oak_planks:12, Dark Oak Wood Planks
chisel:dark_oak_planks:14, Dark Oak Wood Planks
chisel:dark_oak_planks:15, Dark Oak Wood Planks
chisel:woolen_clay:0, Woolen Clay
chisel:woolen_clay:1, Woolen Clay
chisel:woolen_clay:2, Woolen Clay
chisel:woolen_clay:3, Woolen Clay
chisel:woolen_clay:4, Woolen Clay
chisel:woolen_clay:5, Woolen Clay
chisel:woolen_clay:6, Woolen Clay
chisel:woolen_clay:7, Woolen Clay
chisel:woolen_clay:8, Woolen Clay
chisel:woolen_clay:9, Woolen Clay
chisel:woolen_clay:10, Woolen Clay
chisel:woolen_clay:11, Woolen Clay
chisel:woolen_clay:12, Woolen Clay
chisel:woolen_clay:13, Woolen Clay
chisel:woolen_clay:14, Woolen Clay
chisel:woolen_clay:15, Woolen Clay
EnderIO:blockStirlingGenerator, Stirling Generator
EnderIO:blockCombustionGenerator, Combustion Generator
EnderIO:blockZombieGenerator, Zombie Generator
EnderIO:blockSolarPanel:0, Photovoltaic Cell
EnderIO:blockSolarPanel:1, Advanced Photovoltaic Cell
EnderIO:blockSagMill, SAG Mill
EnderIO:blockAlloySmelter, Alloy Smelter
EnderIO:blockCapBank:0, Creative Capacitor Bank
EnderIO:blockCapBank:1, Basic Capacitor Bank
EnderIO:blockCapBank:1, Basic Capacitor Bank
EnderIO:blockCapBank:2, Capacitor Bank
EnderIO:blockCapBank:2, Capacitor Bank
EnderIO:blockCapBank:3, Vibrant Capacitor Bank
EnderIO:blockCapBank:3, Vibrant Capacitor Bank
EnderIO:blockPainter, Painting Machine
EnderIO:blockPaintedFence:0, Painted Fence
EnderIO:blockPaintedFenceGate:0, Painted Gate
EnderIO:blockPaintedWall:0, Painted Wall
EnderIO:blockPaintedStair:0, Painted Stairs
EnderIO:blockPaintedSlab:0, Painted Slab
EnderIO:blockPaintedDoubleSlab:0, Painted Slab
EnderIO:blockCrafter, Crafter
EnderIO:blockPaintedGlowstone:0, Painted Glowstone
EnderIO:blockPaintedCarpet:0, Painted Carpet
EnderIO:blockVat, The Vat
EnderIO:blockPowerMonitor, Power Monitor
EnderIO:blockFarmStation, Farming Station
EnderIO:blockWirelessCharger, Wireless Charger
EnderIO:blockHyperCube, Dimensional Transceiver (Deprecated)
EnderIO:blockTank:0, Fluid Tank
EnderIO:blockTank:1, Pressurized Fluid Tank
EnderIO:blockReservoir, Reservoir
EnderIO:blockVacuumChest, Vacuum Chest
EnderIO:blockTransceiver, Dimensional Transceiver
EnderIO:blockBuffer:0, Item Buffer
EnderIO:blockBuffer:1, Power Buffer
EnderIO:blockBuffer:2, Omni Buffer
EnderIO:blockBuffer:3, Creative Buffer
EnderIO:blockInventoryPanel, Inventory Panel
EnderIO:blockEnderIo, Ender IO
EnderIO:blockTravelAnchor, Travel Anchor
EnderIO:blockTelePad, Telepad Block
EnderIO:blockSliceAndSplice, Slice'N'Splice
EnderIO:blockSoulBinder, Soul Binder
EnderIO:blockPoweredSpawner, Powered Spawner
EnderIO:blockKillerJoe, Killer Joe
EnderIO:blockAttractor, Attractor Obelisk
EnderIO:blockSpawnGuard, Aversion Obelisk
EnderIO:blockExperienceObelisk, Experience Obelisk
EnderIO:blockWeatherObelisk, Weather Obelisk
EnderIO:blockInhibitorObelisk, tile.blockInhibitorObelisk.name
EnderIO:blockEnchanter, Enchanter
EnderIO:blockDarkSteelPressurePlate:0, Dark Pressure Plate
EnderIO:blockDarkSteelPressurePlate:1, Dark Pressure Plate
EnderIO:blockDarkSteelAnvil:0, Dark Steel Anvil
EnderIO:blockDarkSteelAnvil:1, Slightly Damaged Dark Steel Anvil
EnderIO:blockDarkSteelAnvil:2, Very Damaged Dark Steel Anvil
EnderIO:blockDarkSteelLadder, Dark Steel Ladder
EnderIO:blockElectricLight:0, Powered Light
EnderIO:blockElectricLight:1, Powered Light (Inverted)
EnderIO:blockElectricLight:2, Light
EnderIO:blockElectricLight:3, Light (Inverted)
EnderIO:blockElectricLight:4, Wireless Powered Light
EnderIO:blockElectricLight:5, Wireless Powered Light (Inverted)
EnderIO:blockLightNode, tile.blockLightNode.name
EnderIO:blockReinforcedObsidian, Reinforced Obsidian
EnderIO:blockFusedQuartz:0, Fused Quartz
EnderIO:blockFusedQuartz:1, Quite Clear Glass
EnderIO:blockFusedQuartz:2, Enlightened Fused Quartz
EnderIO:blockFusedQuartz:3, Enlightened Clear Glass
EnderIO:blockFusedQuartz:4, Dark Fused Quartz
EnderIO:blockFusedQuartz:5, Dark Clear Glass
EnderIO:blockEnderRail, Ender Rail
EnderIO:blockConduitBundle, Conduit Connector
EnderIO:blockConduitFacade, tile.blockConduitFacade.name
EnderIO:blockEndermanSkull:0, Enderman Head
EnderIO:blockEndermanSkull:2, Tormented Enderman Head
EnderIO:blockNutrient_distillation, Nutrient Distillation
EnderIO:blockHootch, Hootch
EnderIO:blockRocket_fuel, Rocket Fuel
EnderIO:blockFire_water, Fire Water
EnderIO:blockLiquid_sunshine, Liquid Sunshine
EnderIO:blockCloud_seed, Cloud Seed
EnderIO:blockCloud_seed_concentrated, Concentrated Cloud Seed
EnderIO:blockIngotStorage:0, Electrical Steel Block
EnderIO:blockIngotStorage:1, Energetic Alloy Block
EnderIO:blockIngotStorage:2, Vibrant Alloy Block
EnderIO:blockIngotStorage:3, Redstone Alloy Block
EnderIO:blockIngotStorage:4, Conductive Iron Block
EnderIO:blockIngotStorage:5, Pulsating Iron Block
EnderIO:blockIngotStorage:6, Dark Steel Block
EnderIO:blockIngotStorage:7, Soularium Block
EnderIO:blockDarkIronBars, Dark Iron Bars
Metallurgy:machine.frame, Machine Frame
Metallurgy:crusher, Crusher
Metallurgy:alloyer, Alloyer
Metallurgy:forge, Forge
Metallurgy:abstractor, Abstractor
Metallurgy:base.ore:0, Copper Ore
Metallurgy:base.ore:1, Tin Ore
Metallurgy:base.ore:2, Manganese Ore
Metallurgy:base.block:0, Copper Block
Metallurgy:base.block:1, Tin Block
Metallurgy:base.block:2, Manganese Block
Metallurgy:base.block:3, Bronze Block
Metallurgy:base.block:4, Hepatizon Block
Metallurgy:base.block:5, Damascus Steel Block
Metallurgy:base.block:6, Angmallen Block
Metallurgy:base.block:7, Steel Block
Metallurgy:base.brick:0, Copper Brick
Metallurgy:base.brick:1, Tin Brick
Metallurgy:base.brick:2, Manganese Brick
Metallurgy:base.brick:3, Bronze Brick
Metallurgy:base.brick:4, Hepatizon Brick
Metallurgy:base.brick:5, Damascus Steel Brick
Metallurgy:base.brick:6, Angmallen Brick
Metallurgy:base.brick:7, Steel Brick
Metallurgy:copper.molten, Molten Copper
Metallurgy:tin.molten, Molten Tin
Metallurgy:manganese.molten, Molten Manganese
Metallurgy:bronze.molten, Molten Bronze
Metallurgy:hepatizon.molten, Molten Hepatizon
Metallurgy:damascus.steel.molten, Molten Damascus Steel
Metallurgy:angmallen.molten, Molten Angmallen
Metallurgy:steel.molten, Molten Steel
Metallurgy:ender.ore:0, Eximite Ore
Metallurgy:ender.ore:1, Meutoite Ore
Metallurgy:ender.block:0, Eximite Block
Metallurgy:ender.block:1, Meutoite Block
Metallurgy:ender.block:2, Desichalkos Block
Metallurgy:ender.brick:0, Eximite Brick
Metallurgy:ender.brick:1, Meutoite Brick
Metallurgy:ender.brick:2, Desichalkos Brick
Metallurgy:eximite.molten, Molten Eximite
Metallurgy:meutoite.molten, Molten Meutoite
Metallurgy:desichalkos.molten, Molten Desichalkos
Metallurgy:fantasy.ore:0, Prometheum Ore
Metallurgy:fantasy.ore:1, Deep Iron Ore
Metallurgy:fantasy.ore:2, Infuscolium Ore
Metallurgy:fantasy.ore:4, Oureclase Ore
Metallurgy:fantasy.ore:5, Astral Silver Ore
Metallurgy:fantasy.ore:6, Carmot Ore
Metallurgy:fantasy.ore:7, Mithril Ore
Metallurgy:fantasy.ore:8, Rubracium Ore
Metallurgy:fantasy.ore:11, Orichalcum Ore
Metallurgy:fantasy.ore:13, Adamantine Ore
Metallurgy:fantasy.ore:14, Atlarus Ore
Metallurgy:fantasy.block:0, Prometheum Block
Metallurgy:fantasy.block:1, Deep Iron Block
Metallurgy:fantasy.block:2, Infuscolium Block
Metallurgy:fantasy.block:3, Black Steel Block
Metallurgy:fantasy.block:4, Oureclase Block
Metallurgy:fantasy.block:5, Astral Silver Block
Metallurgy:fantasy.block:6, Carmot Block
Metallurgy:fantasy.block:7, Mithril Block
Metallurgy:fantasy.block:8, Rubracium Block
Metallurgy:fantasy.block:9, Quicksilver Block
Metallurgy:fantasy.block:10, Haderoth Block
Metallurgy:fantasy.block:11, Orichalcum Block
Metallurgy:fantasy.block:12, Celenegil Block
Metallurgy:fantasy.block:13, Adamantine Block
Metallurgy:fantasy.block:14, Atlarus Block
Metallurgy:fantasy.block:15, Tartarite Block
Metallurgy:fantasy.brick:0, Prometheum Brick
Metallurgy:fantasy.brick:1, Deep Iron Brick
Metallurgy:fantasy.brick:2, Infuscolium Brick
Metallurgy:fantasy.brick:3, Black Steel Brick
Metallurgy:fantasy.brick:4, Oureclase Brick
Metallurgy:fantasy.brick:5, Astral Silver Brick
Metallurgy:fantasy.brick:6, Carmot Brick
Metallurgy:fantasy.brick:7, Mithril Brick
Metallurgy:fantasy.brick:8, Rubracium Brick
Metallurgy:fantasy.brick:9, Quicksilver Brick
Metallurgy:fantasy.brick:10, Haderoth Brick
Metallurgy:fantasy.brick:11, Orichalcum Brick
Metallurgy:fantasy.brick:12, Celenegil Brick
Metallurgy:fantasy.brick:13, Adamantine Brick
Metallurgy:fantasy.brick:14, Atlarus Brick
Metallurgy:fantasy.brick:15, Tartarite Brick
Metallurgy:prometheum.molten, Molten Prometheum
Metallurgy:deep.iron.molten, Molten Deep Iron
Metallurgy:infuscolium.molten, Molten Infuscolium
Metallurgy:black.steel.molten, Molten Black Steel
Metallurgy:oureclase.molten, Molten Oureclase
Metallurgy:astral.silver.molten, Molten Astral Silver
Metallurgy:carmot.molten, Molten Carmot
Metallurgy:mithril.molten, Molten Mithril
Metallurgy:rubracium.molten, Molten Rubracium
Metallurgy:quicksilver.molten, Molten Quicksilver
Metallurgy:haderoth.molten, Molten Haderoth
Metallurgy:orichalcum.molten, Molten Orichalcum
Metallurgy:celenegil.molten, Molten Celenegil
Metallurgy:adamantine.molten, Molten Adamantine
Metallurgy:atlarus.molten, Molten Atlarus
Metallurgy:tartarite.molten, Molten Tartarite
Metallurgy:nether.ore:0, Ignatius Ore
Metallurgy:nether.ore:1, Shadow Iron Ore
Metallurgy:nether.ore:2, Lemurite Ore
Metallurgy:nether.ore:3, Midasium Ore
Metallurgy:nether.ore:4, Vyroxeres Ore
Metallurgy:nether.ore:5, Ceruclase Ore
Metallurgy:nether.ore:6, Alduorite Ore
Metallurgy:nether.ore:7, Kalendrite Ore
Metallurgy:nether.ore:8, Vulcanite Ore
Metallurgy:nether.ore:9, Sanguinite Ore
Metallurgy:nether.block:0, Ignatius Block
Metallurgy:nether.block:1, Shadow Iron Block
Metallurgy:nether.block:2, Lemurite Block
Metallurgy:nether.block:3, Midasium Block
Metallurgy:nether.block:4, Vyroxeres Block
Metallurgy:nether.block:5, Ceruclase Block
Metallurgy:nether.block:6, Alduorite Block
Metallurgy:nether.block:7, Kalendrite Block
Metallurgy:nether.block:8, Vulcanite Block
Metallurgy:nether.block:9, Sanguinite Block
Metallurgy:nether.block:10, Shadow Steel Block
Metallurgy:nether.block:11, Inolashite Block
Metallurgy:nether.block:12, Amordrine Block
Metallurgy:nether.brick:0, Ignatius Brick
Metallurgy:nether.brick:1, Shadow Iron Brick
Metallurgy:nether.brick:2, Lemurite Brick
Metallurgy:nether.brick:3, Midasium Brick
Metallurgy:nether.brick:4, Vyroxeres Brick
Metallurgy:nether.brick:5, Ceruclase Brick
Metallurgy:nether.brick:6, Alduorite Brick
Metallurgy:nether.brick:7, Kalendrite Brick
Metallurgy:nether.brick:8, Vulcanite Brick
Metallurgy:nether.brick:9, Sanguinite Brick
Metallurgy:nether.brick:10, Shadow Steel Brick
Metallurgy:nether.brick:11, Inolashite Brick
Metallurgy:nether.brick:12, Amordrine Brick
Metallurgy:ignatius.molten, Molten Ignatius
Metallurgy:shadow.iron.molten, Molten Shadow Iron
Metallurgy:lemurite.molten, Molten Lemurite
Metallurgy:midasium.molten, Molten Midasium
Metallurgy:vyroxeres.molten, Molten Vyroxeres
Metallurgy:ceruclase.molten, Molten Ceruclase
Metallurgy:alduorite.molten, Molten Alduorite
Metallurgy:kalendrite.molten, Molten Kalendrite
Metallurgy:vulcanite.molten, Molten Vulcanite
Metallurgy:sanguinite.molten, Molten Sanguinite
Metallurgy:shadow.steel.molten, Molten Shadow Steel
Metallurgy:inolashite.molten, Molten Inolashite
Metallurgy:amordrine.molten, Molten Amordrine
Metallurgy:precious.ore:0, Zinc Ore
Metallurgy:precious.ore:1, Silver Ore
Metallurgy:precious.ore:2, Platinum Ore
Metallurgy:precious.block:0, Zinc Block
Metallurgy:precious.block:1, Silver Block
Metallurgy:precious.block:2, Platinum Block
Metallurgy:precious.block:3, Brass Block
Metallurgy:precious.block:4, Electrum Block
Metallurgy:precious.brick:0, Zinc Brick
Metallurgy:precious.brick:1, Silver Brick
Metallurgy:precious.brick:2, Platinum Brick
Metallurgy:precious.brick:3, Brass Brick
Metallurgy:precious.brick:4, Electrum Brick
Metallurgy:zinc.molten, Molten Zinc
Metallurgy:silver.molten, Molten Silver
Metallurgy:platinum.molten, Molten Platinum
Metallurgy:brass.molten, Molten Brass
Metallurgy:electrum.molten, Molten Electrum
Metallurgy:utility.ore:0, Sulfur Ore
Metallurgy:utility.ore:1, Phosphorite Ore
Metallurgy:utility.ore:2, Saltpeter Ore
Metallurgy:utility.ore:3, Magnesium Ore
Metallurgy:utility.ore:4, Bitumen Ore
Metallurgy:utility.ore:5, Potash Ore
Metallurgy:utility.block:0, Sulfur Block
Metallurgy:utility.block:1, Phosphorite Block
Metallurgy:utility.block:2, Saltpeter Block
Metallurgy:utility.block:3, Magnesium Block
Metallurgy:utility.block:4, Bitumen Block
Metallurgy:utility.block:5, Potash Block
Metallurgy:vanilla.brick:0, Gold Brick
Metallurgy:vanilla.brick:1, Iron Brick
Metallurgy:extra.storage.block:0, Block of Charcoal
Metallurgy:explosive:0, High Explosives
Metallurgy:explosive:1, Light Explosives
Metallurgy:explosive:2, Miners Explosives
